id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
167859,FALSE,/uTg5tEd7XmKqJOwSMgmtWmpvJfN.jpg,[18],en,Prep School,"Upon learning of his girlfriend's infidelity, Greg, the star player of his elite private school’s rugby team, suffers an emotional breakdown, leaving his friends and teammates to pick up the pieces and deal with the crisis in their own ways, ranging from heroic to apathetic to downright horrifying.",1.195069,/hC2Zri4VP9eN6gR5zVz0w7IqahS.jpg,7/5/2016,Prep School,FALSE,5.5,2
210809,FALSE,/k6tH5umAZA8rh6MaikGupU1Hw6v.jpg,[14],en,Red Roses of Passion,"A man-hungry suburban woman feels frustrated since she lives in the home of her prudish aunt and cousin, who interrupt and criticise her amorous liaisons. A co-worker brings her to a tarot-card reader, who introduces her to a club of women who meet occasionally to share an intoxicating brew, tease each other erotically with long-stemmed roses and honour the heathen god Pan. The occultist manages to corrupt the aunt and cousin, and lure the woman into full-fledged membership so she might participate in its climactic ritual.",1.195044,/brXnXcOtD6WvE7Lmfv8YPUwe838.jpg,1/1/1966,Red Roses of Passion,FALSE,0,0
32700,FALSE,,"[35, 18, 10769, 10749]",en,Boyfriends,"Paul, Matt, and Will (in their 30s) have been friends for years. They converge at the seaside for the weekend, each with a boyfriend in tow. Paul is with Ben, his companion of five years: their relationship is on the rocks after months of Paul's moodiness since his brother Mark died. Matt brings Owen, whom he's dated for three months and wants to live with; to everyone else, they seem singularly.",1.194099,/pf8tXWPjKpYSIDDHDX0iV4HaexH.jpg,11/13/1996,Boyfriends,FALSE,3.3,4
54162,FALSE,/tkzjyRv1Cbz8gmQ9wjwwTalJHhP.jpg,"[28, 53]",en,Hotel California,"When TROY turned on crime boss DMITRI DEBARTOLLA he was forced to leave Los Angeles and lay low in Miami. After two years, and the loss of his leg in a shootout with a Cuban crime syndicate, Troy returns to LA to reclaim what is rightfully his. A reunion with his former partners in a rundown hotel sets the stage for an explosive encounter where past and present collide.",1.192809,/mYK1PPvdnYQTSeW8wlGN6c1yvUS.jpg,7/25/2008,Hotel California,FALSE,4,1
68479,FALSE,,"[28, 12, 18]",en,Ring of Fire,"The main character, Johnny Woo, is a Chinese doctor who has given up fighting in the ring. His brother is a teacher in a kick-boxing club. Johnny Woo fall in love with Julie, whose brother is a teacher in a rival kick-boxing club. Tension builds up...",1.192761,/bNHuIoFms2aciTarYixOsJNisiw.jpg,12/18/1991,Ring of Fire,FALSE,6,4
126405,FALSE,/sioatWGhQe9ElE2xrrvQDYcr8jX.jpg,[53],en,Flareup,A Las Vegas go-go dancer moves to Los Angeles to escape the psycho who has killed her partners.,1.191302,/rah3Qh1jQn3mHc4TZTMA9kVybDV.jpg,11/10/1969,Flareup,FALSE,6,2
87919,FALSE,/gqBT3h6CsX5xsX1Lo04akUbPBT3.jpg,"[10749, 35]",en,Open Five,"A blend of reality and fiction, ""Open Five"" follows the story of Jake, a struggling musician and his sidekick, Kentucker, a maker of ""poor"" films and what happens when two girls (Lucy and Rose) venture down to Memphis for a long weekend.",1.191169,/aGfxNNNnQrUOhVeguX3pJdIWUGl.jpg,4/9/2010,Open Five,FALSE,5.5,4
411101,FALSE,/jKvgSjB5gyJtrYpvF5U6aPttxeA.jpg,[27],en,Possessed,"Father Leonard is called in to perform an exorcism on Felicia's husband, Thomas. But what he faces he wasn't expecting.",1.191149,/1lgL7O1S0KtPQ1YDO2UGkGQgAx.jpg,11/15/2015,Possessed,FALSE,6,2
55985,FALSE,,[35],en,The Graduates,"Four friends head to Senior Week in Ocean City, Maryland, to celebrate high school graduation.",1.190205,/sF7s12q2vGvh3Td35nQywLBHS0f.jpg,5/1/2009,The Graduates,FALSE,4.3,3
64104,FALSE,,"[18, 878, 53]",en,After Last Season,"A team of scientists is developing a new technology that captures the thoughts of a human subject and changes them into images. Still in its infancy, the technology changes thoughts into simple images and shapes. Two company interns (Matthew Andrews and Sarah Austin) have the chance to test the technology while they pursue a degree in neurosurgery. They study at a university along with other students (Anne Plaven). A brain surgeon named Dr. Marlen introduces the students to real life situations as several unexplained deaths take place around the city. When Andrews and Austin test the new technology at their company, Austin sees flashes of events in her mind. The events relate to the killings in the city. The flashes lead to new and dangerous discoveries. The students may not survive the experiment.",1.189966,/gFVSy7P9Z265ihxz72ZIfHUxtwI.jpg,6/5/2009,After Last Season,FALSE,2,4
86689,FALSE,/2cg94uSxuZJtYPoTZsV8oaq6cN9.jpg,"[27, 53]",en,Headhunter,"A Miami cop finds out his wife has a female lover, and he begins to have an affair with his female partner. Meanwhile, a voodoo demon from Africa arrives among Miami's Nigerian community and begins decapitating some people and possessing others--including the cop's wife.",1.189234,/regAJp2SyY8gq39TqQbXGGlWY68.jpg,1/1/1989,Headhunter,FALSE,4.5,4
38135,FALSE,/uOCnKjjzAKlxa51FNhb6YDaJwIi.jpg,[18],en,The Debut,"Filipino-American high school student Ben (Dante Mercado) works in a comic book shop to earn money to pay his way into Cal Arts. His father, a postman, is determined that his son--who has won a pre-med scholarship to UCLA--will become a doctor. The eighteenth birthday party of Ben's sister, Rose, sets off a comedic and touching series of events and family struggles that will in turn determine young Ben's future. This fresh independent production from Gene Cajayon presents a lighthearted and warm coming-of-age tale filtered through the eyes of an American subculture rarely seen on film.",1.186066,/nSOHG7E5pJ4B5uDnNbIvqLik4S0.jpg,5/18/2000,The Debut,FALSE,5.3,4
41891,FALSE,/wjQtqAklFHqonUwMGRKWn8RiTVC.jpg,"[80, 18]",en,Home of the Giants,"A story about basketball and befriending. Gar is a High School journalist who, while covering the team to the state championship, is best friends with the teams' main ""Star"" Matt Dunbar. Matt's older brother persuades him to steal money from a drug dealers' home. Gar tags along, but soon things go horribly wrong. One question to ask is ""Will the Giants win the big game?",1.186013,/gnHKu5mF7eb13f0hjMjz5yWaixV.jpg,10/12/2007,Home of the Giants,FALSE,4.2,3
83155,FALSE,,[27],en,Truth or Dare?: A Critical Madness,Mike Strauber catches his wife Sharon in bed with his best friend Jerry. He gets mad and takes off to embark on an adventure of murder and self-mutilation in demented games of truth or dare.,1.183396,/tIZN1MehzyBnIMSUTRYxm6EVJn7.jpg,1/1/1986,Truth or Dare?: A Critical Madness,FALSE,6.3,4
185063,FALSE,,"[28, 53]",en,Survival Zone,"In a post-nuclear world, a happy family of ranchers is beseiged by a roving band of ne'er do well marauders who want to eat the men and mate with the women. Having already killed and eaten an entire mission full of nuns, the family has no choice but to grab their rifles and defend their homestead. Meanwhile, the lonely, nubile daughter begins to have feelings for the buff blond stranger with no family who has wandered onto the property. It's romance, intrigue, action, and violence on the dark continent!",1.183372,/xs0RJiGF8f7xNGUt9Lx9kR6fI9G.jpg,9/22/1983,Survival Zone,FALSE,5.5,2
55852,FALSE,/jh5V1aw2iaoqJDdPNyOinjR7QSc.jpg,"[99, 10749]",en,Southern Comfort,"This moving documentary chronicles the last year in the life of Robert Eads, a female-to-male transsexual dying of ovarian cancer. We're introduced to several prominent figures in Robert's life -- most importantly, his life partner, Lola Cola. Lola is a transsexual who's become Robert's life partner and caretaker. The two prepare to lead a panel at the annual Southern Comfort conference, a yearly event created for transgendered individuals.",1.183271,/nydKoA9p6VDM5psKOwTtFRVetIr.jpg,1/25/2001,Southern Comfort,FALSE,7.8,4
471664,FALSE,/glZ9ONY1G4D570UziyIDY7ZF7g1.jpg,"[28, 27, 878, 53]",en,Resident Evil: Red Falls,Time is ticking for captain Jackson Elis as he interrogates a mysterious man with ties to an unnamed bioterrorist group holding a team of B.S.A.A. operatives hostage. Foxtrot team is sent in to rescue the hostages through the zombie infested Red Falls. Is there any hope for the B.S.A.A. hostages?,1.182648,/5bidPhIpDVHt5WElKYIRRww9Ri4.jpg,11/7/2013,Resident Evil: Red Falls,FALSE,0,0
83329,FALSE,/w8wCRC35bs76UqyElIwAWBlCrzt.jpg,[27],en,Home Sweet Home,"An escaped mental patient steals a station wagon and makes his way to the Bradleys' Thanksgiving celebration, where he plans to make them a little less thankful...",1.181503,/iRCp7qCmiDTV0e4Jnz5f93LebHP.jpg,1/1/1981,Home Sweet Home,FALSE,5.8,4
68670,FALSE,/i8zFMr2YrK1Btn8ICjZILPNca8X.jpg,"[53, 18]",en,Dead Connection,"After a series of murders in motel rooms are connected, a cop, Dickson, heads out on the trail to find a serial killer. He discovers that he signs the motel guest-books with the names of boxers, and hence gets a lead on him. However, when he just fails to catch up arrest him, the chase becomes personal.",1.181465,/vepYsJMt2TW9vUOzYSl4rqj8AK3.jpg,1/1/1994,Dead Connection,FALSE,0,0
66159,FALSE,/nbbedgdrJz1mprAZk3jrw8tmDP2.jpg,"[35, 10769]",en,The Most Fertile Man in Ireland,"Unimpressive, 24-year-old virgin, Eamonn (Kris Marshall) lives in Belfast with his mother, during the Troubles. Local girl, Mary Malloy (Tara O'Neil) decides that since she has probably slept with every man in town Eamonn should be next on her list. He proves to be quite a catch... and Mary gets pregnant even though she took precautions. A doctor discovers that Eamonn has a very high sperm count and, with the birth rate in Ireland decreasing, Millicent (Bronagh Gallagher) decides to hire out Eamonn to women whose husbands have been firing blanks; all with the blessing of the local Catholic church which sees it as morally better than artificial means.",1.180411,/5gCqKgvBGDcj5Bz9fSps61OJsrB.jpg,6/8/2000,The Most Fertile Man in Ireland,FALSE,6,4
98094,FALSE,/k9KhbqW4a6OiKO7dOufVSEmcujD.jpg,[35],en,Pinball Summer,"It's a summer of fun for two teenaged boys who spend their time chasing two sisters, annoying a biker gang, and basically getting into typical sophomoric hijinks whenever they can.",1.179719,/5v32sM20MIDXBlcNI9W90x9m55i.jpg,6/27/1980,Pinball Summer,FALSE,3.8,2
44672,FALSE,/AddIKF9slcGmKnmyplxYhUSNJeW.jpg,"[10749, 35]",en,Breaking All the Rules,The story of two guys and two girls who meet and fall in love in an amusement park on the last day of summer. All the while outwitting 3 moronic would-be jewel thieves.,1.179561,/tOqMbZq2X1GeEiotZ70EQs6IdT6.jpg,4/1/1985,Breaking All the Rules,FALSE,6,2
39033,FALSE,/oXBLP9D2NGl9XahAOID6PSZpzqa.jpg,[18],en,The Houseboy,"Distraught after he overhears his two 30-something lovers talking about finding a new ""toy"" to replace him, young Ricky looks for love through a series of random sexual encounters while house-sitting for the couple over the Christmas holidays. Meanwhile, he contemplates suicide. But when Ricky meets a compassionate new friend, he may be experiencing the sparks of real love in this compelling and sexy gay drama.",1.179481,/6q3q48fD9lq3sICj8waTm7Mr33Q.jpg,11/10/2007,The Houseboy,FALSE,5.1,4
33102,FALSE,/Q13uyi3iXPYld1gg03ETgQUkaI.jpg,"[28, 35, 878]",en,The Girl from Monday,A comic drama about a time in the near future when citizens are happy to be property traded on the stock exchange.,1.179147,/vbrUwKNHyUY5lXbjAOjkGvBzb5n.jpg,1/1/2005,The Girl from Monday,FALSE,3.3,3
101904,FALSE,/eItPo35Fueer0rLQ29LbnkZDAm0.jpg,"[14, 18]",fr,À travers la forêt,"After the death of Renaud, her boyfriend, Armelle can't possibly take him out of her mind. Her sister advises her to see a medium, in whose house she meets a boy who strangely looks like Renaud...",1.179129,/35DoWeaFWTdPD226OWCKU7j55pO.jpg,10/12/2005,Through the Forest,FALSE,6,3
54821,FALSE,/fjDX0MaDM0fF7biytzMoMOTWB7E.jpg,"[16, 18, 10749]",en,Adam,"The hand of God fashions Adam out of the clay of Earth and places him on a small and empty planet. Each of Adam's actions - at first he can't stand up, then he barks like a dog, then he sleeps - requires God's intervention. After Adam discovers how small the planet is, how little there is to do, and God's unwillingness to let him leave the Earth, he is depressed, lonely and disconsolate. So God asks Adam's patience for a few minutes while He fashions a companion for Adam. Adam is delighted: he dons a bow tie, uses mouthwash, and finds a bouquet of flowers. Is God thinking what Adam is thinking?",1.178314,/vGjJg3PVUYOLYvzV22Kwr1edxIk.jpg,10/5/1992,Adam,FALSE,6,5
36563,FALSE,/i0ctUXbpGk7Zlsi8z1XC7RRIiuR.jpg,"[28, 35]",en,Plan B,A bookkeeper who thinks she killed three mobsters is subsequently promoted by her boss to be a hitman. |,1.1778,/zmCRP7Bs6L9vOgVwapuQmts5Z8w.jpg,1/1/2001,Plan B,FALSE,4,2
322399,FALSE,/rAi5ik6bCduoTOLg9sq28KDKZCw.jpg,"[35, 10749]",en,Mac Daddy & the Lovers,"A unique romantic comedy regarded as the male version of SEX AND THE CITY with a bit of SATURDAY NIGHT FEVER mixed in. This award-winning film (Golden Reel Award at the 2013 Nevada International Film Festival) is being called “A laugh-filled comedy with a very important and powerful message!” The film is written and directed by Mac Jay, who also stars in the film.",1.1769,/9KsEyDFvw2cVWvnfoYbNCP0J5nk.jpg,2/10/2015,Mac Daddy & the Lovers,FALSE,0,0
