,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,id,belongs_to_collection,genres,original_language,original_title,popularity,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,vote_count,vote_average,movie_id,Actor1_pop,Actor2_pop,Actor3_pop,12,878,28,18,10751,53,35,80,9648,14,27,10749,99,10402,36,10752,16,37,10769,10770,Number of Production Companies,Release Month,'US','CA','GB',OTHER,'en','otherLang'
20,20,20,20,20,5879,0.0,"[{'name': 'Drama', 'id': 18}, {'name': 'Romance', 'id': 10749}]",ja,愛のコリーダ,7.336492,"[{'name': 'Argos Films', 'id': 6116}, {'name': 'Oshima Productions', 'id': 13139}, {'name': 'Shibata Organisation', 'id': 14668}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",5/15/1976,105.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,In the Realm of the Senses,119,6.4,5879,0.12,0.036787,0.014711,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5.0,0,0,0,1,0,0
21,21,21,21,21,624,0.0,"[{'name': 'Adventure', 'id': 12}, {'name': 'Drama', 'id': 18}]",en,Easy Rider,7.034006,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Raybert Productions', 'id': 4541}, {'name': 'Pando Company Inc.', 'id': 14595}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/7/1969,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A man went looking for America and couldn’t find it anywhere...,Easy Rider,451,7.1,624,2.827311,2.18512,1.787085,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.0,1,0,0,0,0,0
22,22,22,22,22,37722,0.0,"[{'name': 'Drama', 'id': 18}, {'name': 'Romance', 'id': 10749}]",en,Waking the Dead,8.008557,"[{'name': 'Egg Pictures', 'id': 802}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Gramercy Pictures (I)', 'id': 31715}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",3/23/2000,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes love has a life of it's own.,Waking the Dead,23,6.7,37722,7.77996,4.24022,1.987524,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3.0,1,1,0,0,0,0
23,23,23,23,23,39414,0.0,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]",en,Paper Man,8.538799,"[{'name': 'Koch Media', 'id': 10559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/15/2009,110.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,A little imagination goes a long way,Paper Man,99,6.0,39414,10.168264,5.255825,3.408899,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1,0,0,0,0,0
24,24,24,24,24,1587,0.0,"[{'name': 'Romance', 'id': 10749}, {'name': 'Drama', 'id': 18}]",en,What's Eating Gilbert Grape,7.811126,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/17/1993,118.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A film about the love you find...In the last place you look.,What's Eating Gilbert Grape,1025,7.5,1587,12.53137,7.700768,3.181851,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12.0,1,0,0,0,0,0
25,25,25,25,25,244267,0.0,"[{'name': 'Science Fiction', 'id': 878}, {'name': 'Drama', 'id': 18}]",en,I Origins,9.659111,"[{'name': 'Verisimilitude', 'id': 22632}, {'name': 'Bersin Pictures', 'id': 36186}, {'name': 'WeWork Studios', 'id': 36187}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/18/2014,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,I Origins,1155,7.5,244267,3.917956,3.553141,1.240706,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.0,1,0,0,0,0,0
26,26,26,26,26,25196,0.0,"[{'name': 'Drama', 'id': 18}, {'name': 'Music', 'id': 10402}, {'name': 'Romance', 'id': 10749}]",en,Crazy Heart,6.238383,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': ""Butcher's Run Films"", 'id': 3864}, {'name': 'Informant Media', 'id': 9325}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/16/2009,112.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"The harder the life, the sweeter the song.",Crazy Heart,302,6.8,25196,7.381485,5.385027,3.500673,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,12.0,1,0,0,0,0,0
27,27,27,27,27,17473,0.0,"[{'name': 'Drama', 'id': 18}, {'name': 'Romance', 'id': 10749}]",en,The Room,10.376011,"[{'name': 'Chloe Productions', 'id': 3330}, {'name': 'TPW Films', 'id': 3331}, {'name': 'Wiseau-Films', 'id': 3332}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/27/2003,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Can you ever really trust anyone?,The Room,217,4.2,17473,0.824757,0.12,0.010172,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6.0,1,0,0,0,0,0
28,28,28,28,28,1546,0.0,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]",en,Thumbsucker,7.714259,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'Bob Yari Productions', 'id': 12260}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/23/2005,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Thumbsucker,73,6.2,1546,13.579472,4.276086,3.731989,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1,0,0,0,0,0
29,29,29,29,29,9388,0.0,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]",en,Thank You for Smoking,7.459077,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Room 9 Entertainment', 'id': 3567}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/5/2005,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Tobacco lobbyist Nick Naylor is trying to SAVE YOUR ASH!,Thank You for Smoking,717,7.1,9388,4.281717,4.166409,4.049505,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.0,1,0,0,0,0,0
