id,adult,backdrop_path,belongs_to_collection,genres,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,vote_count,vote_average,movie_id,Actor1_pop,Actor2_pop,Actor3_pop
5879,FALSE,/pdTK37YRrMGXNQniCN5Y15rYi90.jpg,,"[{'name': 'Drama', 'id': 18}, {'name': 'Romance', 'id': 10749}]",tt0074102,ja,愛のコリーダ,"Based on a true story set in pre-war Japan, a man and one of his servants begin a torrid affair. Their desire becomes a sexual obsession so strong that to intensify their ardor, they forsake all, even life itself.",7.336492,/ztLv3Co2uLZMV7YERWbPrTMUi03.jpg,"[{'name': 'Argos Films', 'id': 6116}, {'name': 'Oshima Productions', 'id': 13139}, {'name': 'Shibata Organisation', 'id': 14668}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",5/15/1976,105,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,In the Realm of the Senses,119,6.4,5879,0.12,0.036787,0.014711
624,FALSE,/7HVnz5THbqJZKmAuRvF9vDNaLcK.jpg,,"[{'name': 'Adventure', 'id': 12}, {'name': 'Drama', 'id': 18}]",tt0064276,en,Easy Rider,A cross-country trip to sell drugs puts two hippie bikers on a collision course with small-town prejudices.,7.034006,/e3jHM20jbKZbXYjRwmfQOJ0VnzP.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Raybert Productions', 'id': 4541}, {'name': 'Pando Company Inc.', 'id': 14595}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/7/1969,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A man went looking for America and couldn’t find it anywhere...,Easy Rider,451,7.1,624,2.827311,2.18512,1.787085
37722,FALSE,/eiSRZDOA0d5gKEISvknhQGgwHpk.jpg,,"[{'name': 'Drama', 'id': 18}, {'name': 'Romance', 'id': 10749}]",tt0127349,en,Waking the Dead,"A congressional candidate questions his sanity after seeing the love of his life, presumed dead, suddenly emerge.",8.008557,/8tPS6UXtEDAHqzt6WtLG7k3rpzq.jpg,"[{'name': 'Egg Pictures', 'id': 802}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Gramercy Pictures (I)', 'id': 31715}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",3/23/2000,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes love has a life of it's own.,Waking the Dead,23,6.7,37722,7.77996,4.24022,1.987524
39414,FALSE,/q2LMq6zuUxygwWaBCYkdiBjEikF.jpg,,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]",tt0437405,en,Paper Man,"A coming-of-middle-age comedy that chronicles the unlikely friendship between failed author Richard Dunne and a Long Island teen who teaches him a thing or two about growing up, all under the disapproving eye of his long-suffering wife and his imaginary Superhero friend.",8.538799,/9hxX18PbOZGjcnLeTBjhqKq1YLY.jpg,"[{'name': 'Koch Media', 'id': 10559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/15/2009,110,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,A little imagination goes a long way,Paper Man,99,6,39414,10.168264,5.255825,3.408899
1587,FALSE,/9JvO9d5VgQ9Cy0bbAdBAyKK7pWd.jpg,,"[{'name': 'Romance', 'id': 10749}, {'name': 'Drama', 'id': 18}]",tt0108550,en,What's Eating Gilbert Grape,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.",7.811126,/jQLoOPwNxyILwDbdhn9DsfQz0Sg.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/17/1993,118,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A film about the love you find...In the last place you look.,What's Eating Gilbert Grape,1025,7.5,1587,12.53137,7.700768,3.181851
244267,FALSE,/1IfS3Y7D6ITaXU2pHKuxHuFyW3G.jpg,,"[{'name': 'Science Fiction', 'id': 878}, {'name': 'Drama', 'id': 18}]",tt2884206,en,I Origins,"I Origins follows a molecular biologist studying the evolution of the human eye.  He finds his work permeating his life after a brief encounter with an exotic young woman who slips away from him.  As his research continues years later with his lab partner, they make a stunning scientific discovery that has far reaching implications and complicates both his scientific and and spiritual beliefs.  Traveling half way around the world, he risks everything he has ever known to validate his theory.",9.659111,/wyC666XyqCGlPEkmS7JkvoWYduF.jpg,"[{'name': 'Verisimilitude', 'id': 22632}, {'name': 'Bersin Pictures', 'id': 36186}, {'name': 'WeWork Studios', 'id': 36187}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/18/2014,106,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,I Origins,1155,7.5,244267,3.917956,3.553141,1.240706
25196,FALSE,/zda3EYoToeF0We2UhxxPF9NenVd.jpg,,"[{'name': 'Drama', 'id': 18}, {'name': 'Music', 'id': 10402}, {'name': 'Romance', 'id': 10749}]",tt1263670,en,Crazy Heart,"When reporter Jean Craddock interviews Bad Blake -- an alcoholic, seen-better-days country music legend -- they connect, and the hard-living crooner sees a possible saving grace in a life with Jean and her young son. But can he leave behind an existence playing in the shadow of Tommy, the upstart kid he once mentored?",6.238383,/tUyhwp36YykNKpqpEfauCavuDbK.jpg,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': ""Butcher's Run Films"", 'id': 3864}, {'name': 'Informant Media', 'id': 9325}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/16/2009,112,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"The harder the life, the sweeter the song.",Crazy Heart,302,6.8,25196,7.381485,5.385027,3.500673
17473,FALSE,/mX7mlE1kaGohnSVDMSTlrvisYf7.jpg,,"[{'name': 'Drama', 'id': 18}, {'name': 'Romance', 'id': 10749}]",tt0368226,en,The Room,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. The happy-go-lucky guy sees his world fall apart when his friends begin to betray him one-by-one.",10.376011,/aUC39cFC2KO8CJ0EV0ijIJRr3PT.jpg,"[{'name': 'Chloe Productions', 'id': 3330}, {'name': 'TPW Films', 'id': 3331}, {'name': 'Wiseau-Films', 'id': 3332}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/27/2003,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Can you ever really trust anyone?,The Room,217,4.2,17473,0.824757,0.12,0.010172
1546,FALSE,/8YZ1bmn9Xbb89wu20GMVYgqjqO.jpg,,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]",tt0318761,en,Thumbsucker,"Justin, a teenager boy, throws himself and everyone around him into chaos when he attempts to break free from his addiction to his thumb.",7.714259,/zEL3Wj4VHr3Hzn4FUmFQn2IIkBo.jpg,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'Bob Yari Productions', 'id': 12260}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/23/2005,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Thumbsucker,73,6.2,1546,13.579472,4.276086,3.731989
9388,FALSE,/cv6GPeRbvlS0Vp9zVSu954nhxtR.jpg,,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]",tt0427944,en,Thank You for Smoking,"The chief spokesperson and lobbyist Nick Naylor is the Vice-President of the Academy of Tobacco Studies. He is talented in speaking and spins argument to defend the cigarette industry in the most difficult situations. His best friends are Polly Bailey that works in the Moderation Council in alcohol business, and Bobby Jay Bliss of the gun business own advisory group SAFETY. They frequently meet each other in a bar and they self-entitle the Mod Squad a.k.a. Merchants of Death, disputing which industry has killed more people. Nick's greatest enemy is Vermont's Senator Ortolan Finistirre, who defends in the Senate the use a skull and crossed bones in the cigarette packs. Nick's son Joey Naylor lives with his mother, and has the chance to know his father in a business trip. When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her, his life turns upside-down. But Nick is good in what he does for the mortgage.",7.459077,/v8PKsbAGIvAhKbbRUjdQ3jgFD2S.jpg,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Room 9 Entertainment', 'id': 3567}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/5/2005,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Tobacco lobbyist Nick Naylor is trying to SAVE YOUR ASH!,Thank You for Smoking,717,7.1,9388,4.281717,4.166409,4.049505
